round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
6	ours(posixKqueue)	full	_echo	-	51654.148419271245	0.7735	8.558667000000002	18.461499999999997	ok
6	ours(posixKqueue)	floor	_plaintext	-	55976.36876133448	0.822583	6.3595	14.884375	ok
6	ours(posixKqueue)	floor	_json	-	56340.59199352407	0.8019999999999999	6.211875	16.542458	ok
6	ours(posixKqueue)	floor	_payload	-	54452.67851468191	0.787583	7.454166	18.609707999999998	ok
6	ours(posixKqueue)	floor	_hello_world	-	50866.60535906157	0.67875	10.264542	29.388082999999998	ok
6	ours(posixKqueue)	floor	_echo	-	50091.04861702292	0.6242920000000001	12.699333	27.532625000000003	ok
7	ours(posixKqueue)	full	_plaintext	-	41380.745355977975	0.681083	15.712416	78.51724999999999	ok
7	ours(posixKqueue)	full	_json	-	46431.25522860199	0.6972499999999999	13.098459	28.659416	ok
7	ours(posixKqueue)	full	_payload	-	46715.98096331417	0.708125	12.696458000000002	24.372625	ok
7	ours(posixKqueue)	full	_hello_world	-	45869.74447869719	0.680209	13.290458999999998	28.570874999999997	ok
7	ours(posixKqueue)	full	_echo	-	49251.28195970764	0.7119169999999999	11.02475	24.033042000000002	ok
7	ours(posixKqueue)	floor	_plaintext	-	53426.990795952675	0.671334	10.25075	21.167915999999998	ok
7	ours(posixKqueue)	floor	_json	-	52555.784990563065	0.6595420000000001	10.371	22.153208	ok
7	ours(posixKqueue)	floor	_payload	-	51712.87424793163	0.613458	11.81025	23.984916	ok
7	ours(posixKqueue)	floor	_hello_world	-	51106.10121153396	0.634792	11.805708	28.447208000000003	ok
7	ours(posixKqueue)	floor	_echo	-	49950.558437264066	0.639208	12.089834000000002	40.450792	ok
8	ours(posixKqueue)	floor	_plaintext	-	53745.208225471884	0.624125	11.270417	26.528416	ok
8	ours(posixKqueue)	floor	_json	-	52673.94410420759	0.63525	11.021125	26.297874999999998	ok
8	ours(posixKqueue)	floor	_payload	-	52872.96607145726	0.656209	10.221167	23.525208	ok
8	ours(posixKqueue)	floor	_hello_world	-	57982.85310610464	0.7420420000000001	6.964167000000001	13.730875	ok
8	ours(posixKqueue)	floor	_echo	-	55207.10823108061	0.698375	9.145292	18.812333	ok
8	ours(posixKqueue)	full	_plaintext	-	50956.242606361964	0.736708	9.964208000000001	22.933	ok
8	ours(posixKqueue)	full	_json	-	51316.02878418266	0.662833	11.2455	23.989666	ok
8	ours(posixKqueue)	full	_payload	-	53233.12591055068	0.8194170000000001	7.5465	14.000667	ok
8	ours(posixKqueue)	full	_hello_world	-	50594.83124603668	0.810292	8.795709	18.791875	ok
8	ours(posixKqueue)	full	_echo	-	50414.83388540472	0.611917	13.219415999999999	24.676125	ok
9	ours(posixKqueue)	full	_plaintext	-	40674.171407352434	0.647042	15.697167000000002	65.448875	ok
9	ours(posixKqueue)	full	_json	-	45779.34009877986	0.7115	13.76575	26.934875	ok
9	ours(posixKqueue)	full	_payload	-	47406.47809001937	0.70125	12.565708	25.014875	ok
9	ours(posixKqueue)	full	_hello_world	-	45360.50364018657	0.679083	11.921833	73.47475	ok
9	ours(posixKqueue)	full	_echo	-	43224.17886047553	0.690083	15.397541	61.290375000000004	ok
9	ours(posixKqueue)	floor	_plaintext	-	32856.08865547686	0.6661250000000001	26.898625	54.212917	ok
9	ours(posixKqueue)	floor	_json	-	37093.08468211137	0.591167	27.852958	87.033458	ok
