round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
2	nginx	floor	_json	-	15452.873649233452	2.061666	53.036708000000004	112.25233399999999	ok
2	nginx	floor	_payload	-	31902.368123218217	1.795042	5.017584	26.067415999999998	ok
2	nginx	floor	_hello_world	-	29732.119809616688	1.724833	14.166959	36.219417	ok
2	nginx	floor	_echo	-	0	0	0	0	na
2	hummingbird	floor	_plaintext	-	43209.59225900805	0.53225	17.402250000000002	37.155833	ok
2	hummingbird	floor	_json	-	41967.2609999483	0.53525	17.790791	51.579917	ok
2	hummingbird	floor	_payload	-	28778.108185207515	0.594959	32.960334	98.26579100000001	ok
2	hummingbird	floor	_hello_world	-	30413.52435231898	0.558833	31.60425	65.159667	ok
2	hummingbird	floor	_echo	-	31039.348784484882	0.5657080000000001	30.933333	63.806166	ok
2	bun	floor	_plaintext	-	12775.053759680031	2.68	53.013875	117.54270799999999	ok
2	bun	floor	_json	-	10960.836946379919	2.6452080000000002	65.306583	215.038417	ok
2	bun	floor	_payload	-	14013.645428575122	2.435333	47.302083	71.443541	ok
2	bun	floor	_hello_world	-	18344.604704695717	2.318417	24.203208	47.191625	ok
2	bun	floor	_echo	-	12421.516034269911	2.915292	45.039542000000004	93.688917	ok
2	caddy	floor	_plaintext	-	43288.093687025554	0.644459	15.202458	40.553167	ok
2	caddy	floor	_json	-	39960.80714477664	0.635791	17.635542	43.478084	ok
2	caddy	floor	_payload	-	43510.11952470471	0.5865	16.035083	36.907375	ok
2	caddy	floor	_hello_world	-	43855.210542645844	0.70125	12.773207999999999	29.055583	ok
2	caddy	floor	_echo	-	0	0	0	0	na
2	ours(swiftSystem)	full	_plaintext	-	44145.36865972833	0.733125	14.798125	31.523708999999997	ok
2	ours(swiftSystem)	full	_json	-	24959.806889546122	0.6503340000000001	58.990666999999995	135.08937500000002	ok
2	ours(swiftSystem)	full	_payload	-	26312.742284927535	0.583166	63.550041	131.212958	ok
2	ours(swiftSystem)	full	_hello_world	-	22592.416049052335	0.6874589999999999	71.28233300000001	162.384417	ok
2	ours(swiftSystem)	full	_echo	-	28719.62668450661	0.594542	46.547	127.65495800000001	ok
2	ours(posixKqueue)	full	_plaintext	-	42753.2963448776	0.698542	16.014416	53.642292	ok
2	ours(posixKqueue)	full	_json	-	31872.087368429344	0.681125	28.972834	146.291125	ok
